id,response
L3-Q-EASY-001,"MSRP ของสินค้ารหัส NT-LT-001 (NovaTech laptop) อยู่ที่ 42,900 บาทครับ"
L3-Q-EASY-002,ใน FACT_VENDOR_PAYMENT มีรายการ vendor payment ที่ปี-เดือนของ posting_date ไม่ตรงกับปี-เดือนของ business_event_date ทั้งหมด 767 รายการครับ
L3-Q-EASY-003,"รายการขนส่งทั้งหมดใน FACT_SHIPPING ของ FahMai ดำเนินการโดย vendor รายเดียวคือ VeloShip (V-006) จึงมีส่วนแบ่ง 100% ของจำนวนรายการขนส่งทั้งหมด (23,182 จาก 23,182 รายการ) ครับ"
L3-Q-EASY-004,พนักงาน CS ที่มีจำนวน interaction บันทึกไว้มากที่สุดคือ EMP-L3-00010 (May Support) โดยมีทั้งหมด 730 ครั้งครับ
L3-Q-EASY-005,FahMai มี vendor ที่เป็น partner brand ทั้งหมด 2 ราย ได้แก่ V-001 (NovaTech) และ V-002 (NovaTech Service) ครับ
L3-Q-EASY-006,"ในปี 2024-2025 สาขาที่มีจำนวน transaction การขายมากที่สุดคือ BKK-SIAM ด้วยจำนวน 18,084 รายการ และมียอดรายได้รวม (net_total_thb) ของสาขานั้นอยู่ที่ 1,039,386,349 บาทครับ"
L3-Q-EASY-007,"จำนวนลูกค้าใน DIM_CUSTOMER แยกตาม loyalty_tier เป็นดังนี้ครับ: platinum 7,500 ราย, gold 7,500 ราย, silver 7,200 ราย และที่ยังไม่มี tier (none) 7,800 ราย"
L3-Q-EASY-008,FahMai มีสาขา/สถานที่ทั้งหมด 11 แห่งในไดเรกทอรี DIM_BRANCH (รวมสำนักงานใหญ่ สาขาหน้าร้าน และช่องทาง remote) ครับ
L3-Q-EASY-009,ณ วันที่ 1 มิถุนายน 2568 CEO ของ FahMai คือ Naret Vision (EMP-L3-00013) ครับ ซึ่งรับตำแหน่งต่อหลังการเปลี่ยนผ่านผู้บริหารเมื่อ 15 มกราคม 2568 จึงเป็น CEO คนปัจจุบันตามที่ระบุใน DIM_EMPLOYEE
L3-Q-EASY-010,ระยะเวลารับประกันของสินค้ารหัส AW-MN-001 (ArcWave monitor flagship) ตามที่ระบุใน DIM_PRODUCT คือ 24 เดือนครับ
